hours,prob
0,0.6872965360839826
1,0.46629357328358756
2,0.3124474194374337
3,0.21518709535827937
4,0.16024726581074655
5,0.17806064596364168
6,0.4321299242839899
7,0.7248984966531329
8,0.8399722008851823
9,0.7554775229525587
10,0.7322872087494056
11,0.6893083141299975
12,0.6911372032627382
13,0.6473901752075789
14,0.7071216942828926
15,0.6690076447565748
16,0.5780752770767036
17,0.7505395222941585
18,0.9377080361388492
19,1.0
20,0.8750868722338052
21,0.8313032663959911
22,0.8593218479095798
23,0.8209883316873331
